date,close,high,low,open,volume
2015-05-27 00:00:00+00:00,132.045,132.26,130.05,130.34,45833246
2015-05-28 00:00:00+00:00,131.78,131.95,131.1,131.86,30733309
2015-05-29 00:00:00+00:00,130.28,131.45,129.9,131.23,50884452
2015-06-01 00:00:00+00:00,130.535,131.39,130.05,131.2,32112797
2015-06-02 00:00:00+00:00,129.96,130.655,129.32,129.86,33667627
2015-06-03 00:00:00+00:00,130.12,130.94,129.9,130.66,30983542
2015-06-04 00:00:00+00:00,129.36,130.58,128.91,129.58,38450118
2015-06-05 00:00:00+00:00,128.65,129.69,128.36,129.5,35626800
2015-06-08 00:00:00+00:00,127.8,129.21,126.83,128.9,52674786
2015-06-09 00:00:00+00:00,127.42,128.08,125.62,126.7,56075420
2015-06-10 00:00:00+00:00,128.88,129.34,127.85,127.92,39087250
2015-06-11 00:00:00+00:00,128.59,130.18,128.475,129.18,35390887
2015-06-12 00:00:00+00:00,127.17,128.33,127.11,128.185,36886246
2015-06-15 00:00:00+00:00,126.92,127.24,125.71,126.1,43988946
2015-06-16 00:00:00+00:00,127.6,127.85,126.37,127.03,31494131
2015-06-17 00:00:00+00:00,127.3,127.88,126.74,127.72,32918071
2015-06-18 00:00:00+00:00,127.88,128.31,127.22,127.23,35407220
2015-06-19 00:00:00+00:00,126.6,127.82,126.4,127.71,54716887
2015-06-22 00:00:00+00:00,127.61,128.06,127.08,127.49,34039345
2015-06-23 00:00:00+00:00,127.03,127.61,126.8792,127.48,30268863
2015-06-24 00:00:00+00:00,128.11,129.8,127.12,127.21,55280855
2015-06-25 00:00:00+00:00,127.5,129.2,127.5,128.86,31938100
2015-06-26 00:00:00+00:00,126.75,127.99,126.51,127.67,44066841
2015-06-29 00:00:00+00:00,124.53,126.47,124.48,125.46,49161427
2015-06-30 00:00:00+00:00,125.425,126.12,124.86,125.57,44370682
2015-07-01 00:00:00+00:00,126.6,126.94,125.99,126.9,30238811
2015-07-02 00:00:00+00:00,126.44,126.69,125.77,126.43,27210952
2015-07-06 00:00:00+00:00,126,126.23,124.85,124.94,28060431
2015-07-07 00:00:00+00:00,125.69,126.15,123.77,125.89,46946811
2015-07-08 00:00:00+00:00,122.57,124.64,122.54,124.48,60761614
2015-07-09 00:00:00+00:00,120.07,124.06,119.22,123.85,78595038
2015-07-10 00:00:00+00:00,123.28,123.85,121.21,121.94,61354474
2015-07-13 00:00:00+00:00,125.66,125.755,124.32,125.03,41440538
2015-07-14 00:00:00+00:00,125.61,126.37,125.04,126.04,31768139
2015-07-15 00:00:00+00:00,126.82,127.15,125.58,125.72,33649200
2015-07-16 00:00:00+00:00,128.51,128.57,127.35,127.74,36222447
2015-07-17 00:00:00+00:00,129.62,129.62,128.31,129.08,46164710
2015-07-20 00:00:00+00:00,132.07,132.97,130.7,130.97,58900203
2015-07-21 00:00:00+00:00,130.75,132.92,130.32,132.85,76756427
2015-07-22 00:00:00+00:00,125.22,125.5,121.99,121.99,115450607
2015-07-23 00:00:00+00:00,125.16,127.09,125.06,126.2,50999452
2015-07-24 00:00:00+00:00,124.5,125.74,123.9,125.32,42162332
2015-07-27 00:00:00+00:00,122.77,123.61,122.12,123.09,44455540
2015-07-28 00:00:00+00:00,123.38,123.91,122.55,123.38,33618097
2015-07-29 00:00:00+00:00,122.99,123.5,122.27,123.15,37011653
2015-07-30 00:00:00+00:00,122.37,122.5699,121.71,122.32,33628268
2015-07-31 00:00:00+00:00,121.3,122.6425,120.91,122.6,42884953
2015-08-03 00:00:00+00:00,118.44,122.57,117.52,121.5,69975968
2015-08-04 00:00:00+00:00,114.64,117.7,113.25,117.42,124138623
2015-08-05 00:00:00+00:00,115.4,117.44,112.1,112.95,98384461
2015-08-06 00:00:00+00:00,115.13,116.5,114.115,115.97,52903040
2015-08-07 00:00:00+00:00,115.52,116.25,114.5,114.58,38670405
2015-08-10 00:00:00+00:00,119.72,119.99,116.53,116.53,54951597
2015-08-11 00:00:00+00:00,113.49,118.18,113.33,117.81,97082814
2015-08-12 00:00:00+00:00,115.24,115.42,109.63,112.53,101685610
2015-08-13 00:00:00+00:00,115.15,116.4,114.54,116.04,48535789
2015-08-14 00:00:00+00:00,115.96,116.31,114.01,114.32,42929516
2015-08-17 00:00:00+00:00,117.16,117.65,115.5,116.04,40884745
2015-08-18 00:00:00+00:00,116.5,117.44,116.01,116.43,34560708
2015-08-19 00:00:00+00:00,115.01,116.52,114.68,116.1,48286510
2015-08-20 00:00:00+00:00,112.65,114.35,111.63,114.08,68501622
2015-08-21 00:00:00+00:00,105.76,111.9,105.645,110.43,128275471
2015-08-24 00:00:00+00:00,103.12,108.8,92,94.87,162206292
2015-08-25 00:00:00+00:00,103.74,111.11,103.5,111.11,103601599
2015-08-26 00:00:00+00:00,109.69,109.89,105.05,107.085,96774611
2015-08-27 00:00:00+00:00,112.92,113.24,110.02,112.25,84616056
2015-08-28 00:00:00+00:00,113.29,113.31,111.54,112.17,53164407
2015-08-31 00:00:00+00:00,112.76,114.53,112,112.13,56229271
2015-09-01 00:00:00+00:00,107.72,111.88,107.36,110.18,76845860
2015-09-02 00:00:00+00:00,112.34,112.34,109.131,110,61888812
2015-09-03 00:00:00+00:00,110.37,112.78,110.04,112.49,53233940
2015-09-04 00:00:00+00:00,109.27,110.45,108.51,108.97,49996311
2015-09-08 00:00:00+00:00,112.31,112.56,110.32,111.65,54843626
2015-09-09 00:00:00+00:00,110.15,114.02,109.77,113.76,85010804
2015-09-10 00:00:00+00:00,112.57,113.2825,109.9,110.27,62892831
2015-09-11 00:00:00+00:00,114.21,114.21,111.76,111.79,49915473
2015-09-14 00:00:00+00:00,115.31,116.89,114.86,116.58,58363431
2015-09-15 00:00:00+00:00,116.28,116.53,114.42,115.93,43341155
2015-09-16 00:00:00+00:00,116.41,116.54,115.44,116.25,37173489
2015-09-17 00:00:00+00:00,113.92,116.49,113.715,115.66,64112641
2015-09-18 00:00:00+00:00,113.45,114.3,111.87,112.21,74285291
2015-09-21 00:00:00+00:00,115.21,115.37,113.66,113.67,50221965
2015-09-22 00:00:00+00:00,113.4,114.18,112.5201,113.38,50346159
2015-09-23 00:00:00+00:00,114.32,114.72,113.3,113.63,35756716
2015-09-24 00:00:00+00:00,115,115.5,112.37,113.25,50219475
2015-09-25 00:00:00+00:00,114.71,116.69,114.02,116.44,56151926
2015-09-28 00:00:00+00:00,112.44,114.57,112.44,113.85,50782189
2015-09-29 00:00:00+00:00,109.06,113.51,107.86,112.83,73365384
2015-09-30 00:00:00+00:00,110.3,111.54,108.73,110.17,65041596
2015-10-01 00:00:00+00:00,109.58,109.62,107.31,109.07,63929100
2015-10-02 00:00:00+00:00,110.38,111.0136,107.55,108.01,58019758
2015-10-05 00:00:00+00:00,110.78,111.3698,109.07,109.88,52064743
2015-10-06 00:00:00+00:00,111.31,111.74,109.765,110.63,48856977
2015-10-07 00:00:00+00:00,110.78,111.77,109.41,111.74,46765550
2015-10-08 00:00:00+00:00,109.5,110.19,108.21,110.19,61979577
2015-10-09 00:00:00+00:00,112.12,112.28,109.49,110,52766140
2015-10-12 00:00:00+00:00,111.6,112.75,111.44,112.73,30467204
2015-10-13 00:00:00+00:00,111.79,112.45,110.68,110.82,33049256
2015-10-14 00:00:00+00:00,110.21,111.52,109.56,111.29,44462449
2015-10-15 00:00:00+00:00,111.86,112.1,110.49,110.93,37673452
2015-10-16 00:00:00+00:00,111.04,112,110.53,111.78,39232609
2015-10-19 00:00:00+00:00,111.73,111.75,110.11,110.8,29759153
2015-10-20 00:00:00+00:00,113.77,114.17,110.82,111.34,48967763
2015-10-21 00:00:00+00:00,113.76,115.58,113.7,114,42326974
2015-10-22 00:00:00+00:00,115.5,115.5,114.1,114.33,41654089
2015-10-23 00:00:00+00:00,119.08,119.228,116.33,116.7,59366914
2015-10-26 00:00:00+00:00,115.28,118.13,114.92,118.08,66333781
2015-10-27 00:00:00+00:00,114.55,116.54,113.99,115.4,69884400
2015-10-28 00:00:00+00:00,119.27,119.3,116.06,116.93,85551352
2015-10-29 00:00:00+00:00,120.53,120.69,118.27,118.7,51227334
2015-10-30 00:00:00+00:00,119.5,121.22,119.45,120.99,49365254
2015-11-02 00:00:00+00:00,121.18,121.36,119.61,119.87,32203267
2015-11-03 00:00:00+00:00,122.57,123.49,120.7,120.79,45518976
2015-11-04 00:00:00+00:00,122,123.82,121.62,123.13,44886050
2015-11-05 00:00:00+00:00,120.92,122.69,120.18,121.85,39552680
2015-11-06 00:00:00+00:00,121.06,121.81,120.62,121.11,33042283
